,index,url,brand,name,price,discount_price,thumbnail,category
0,0,https://store.musinsa.com/app/goods/1628385,예일,2 TONE ARCH HOODIE GRAY,"79,000","55,300",https://image.msscdn.net/images/goods_img/20200928/1628385/1628385_4_500.jpg,hoodie
1,1,https://store.musinsa.com/app/goods/2115555,디스이즈네버댓,T-Logo Hoodie Dark Navy,"82,000","57,400",https://image.msscdn.net/images/goods_img/20210908/2115555/2115555_2_500.jpg,hoodie
2,2,https://store.musinsa.com/app/goods/1615829,제멋,로그 오버핏 기모 후드 그레이 YHHD2302,"34,900","33,100",https://image.msscdn.net/images/goods_img/20200922/1615829/1615829_1_500.jpg,hoodie
3,3,https://store.musinsa.com/app/goods/644026,마크 곤잘레스,사인 로고 후드 그레이,"69,000","48,300",https://image.msscdn.net/images/goods_img/20170926/644026/644026_2_500.jpg,hoodie
4,4,https://store.musinsa.com/app/goods/2066466,예일,EMBROIDERY HANDSOME DAN HOODIE  GRAY,"79,000","47,400",https://image.msscdn.net/images/goods_img/20210817/2066466/2066466_3_500.jpg,hoodie
5,5,https://store.musinsa.com/app/goods/1551889,그루브라임,[패키지] (기모) NYC LOCATION HOOD T-SHIRTS [LRPWCTH333M],"138,000","59,000",https://image.msscdn.net/images/goods_img/20200818/1551889/1551889_1_500.jpg,hoodie
6,6,https://store.musinsa.com/app/goods/2058188,브라운브레스,[송필드pick] TAG TO HOODIE - BLACK,"79,000","69,000",https://image.msscdn.net/images/goods_img/20210811/2058188/2058188_6_500.jpg,hoodie
7,7,https://store.musinsa.com/app/goods/1571501,리,빅 트위치 루즈핏 후디 네이비,"79,000","55,300",https://image.msscdn.net/images/goods_img/20200831/1571501/1571501_4_500.jpg,hoodie
8,8,https://store.musinsa.com/app/goods/2115553,디스이즈네버댓,T-Logo Hoodie Black,"82,000","57,400",https://image.msscdn.net/images/goods_img/20210908/2115553/2115553_2_500.jpg,hoodie
9,9,https://store.musinsa.com/app/goods/1622019,이벳필드,베츠 어센틱 후드 그레이,"79,000","63,200",https://image.msscdn.net/images/goods_img/20200924/1622019/1622019_5_500.jpg,hoodie
10,10,https://store.musinsa.com/app/goods/644025,마크 곤잘레스,사인 로고 후드 블랙,"69,000","48,300",https://image.msscdn.net/images/goods_img/20170926/644025/644025_2_500.jpg,hoodie
11,11,https://store.musinsa.com/app/goods/1615822,제멋,로그 오버핏 기모 후드 블랙 YHHD2302,"34,900","33,100",https://image.msscdn.net/images/goods_img/20200922/1615822/1615822_2_500.jpg,hoodie
12,12,https://store.musinsa.com/app/goods/1615818,제멋,[패키지] 로그 오버핏 기모 후드 7종 2Pack YHHD2302,"69,800","59,300",https://image.msscdn.net/images/goods_img/20200922/1615818/1615818_2_500.jpg,hoodie
13,13,https://store.musinsa.com/app/goods/2099882,[패밀리세일],미시간 울버린 피그먼트 후드티 블랙 차콜,"69,000","46,900",https://image.msscdn.net/images/goods_img/20210831/2099882/2099882_1_500.jpg,hoodie
14,14,https://store.musinsa.com/app/goods/1666085,예일,2 TONE ARCH HOODIE NAVY,"79,000","55,300",https://image.msscdn.net/images/goods_img/20201027/1666085/1666085_5_500.jpg,hoodie
15,15,https://store.musinsa.com/app/goods/1571500,리,[김보라 착용] 빅 트위치 루즈핏 후디 그레이,"79,000","55,300",https://image.msscdn.net/images/goods_img/20200831/1571500/1571500_6_500.jpg,hoodie
16,16,https://store.musinsa.com/app/goods/2099771,디스이즈네버댓,Arch-Logo Hoodie Heather Grey,"82,000","57,400",https://image.msscdn.net/images/goods_img/20210831/2099771/2099771_1_500.jpg,hoodie
17,17,https://store.musinsa.com/app/goods/2060994,아웃스탠딩,REVERSE HEAVY HOOD  SWEAT_3% MELANGE GRAY,"79,000","63,200",https://image.msscdn.net/images/goods_img/20210812/2060994/2060994_3_500.jpg,hoodie
18,18,https://store.musinsa.com/app/goods/1583547,예스아이씨,Arch Logo Hoodie Navy,"84,000","58,800",https://image.msscdn.net/images/goods_img/20200903/1583547/1583547_1_500.jpg,hoodie
19,19,https://store.musinsa.com/app/goods/1571510,리,스몰 트위치 오버핏 후디 그레이,"79,000","55,300",https://image.msscdn.net/images/goods_img/20200831/1571510/1571510_5_500.jpg,hoodie
20,20,https://store.musinsa.com/app/goods/242972,페플,950g 오리지널무지 기모후드 OGHD1931,"32,500",,https://image.msscdn.net/images/goods_img/20150901/242972/242972_11_500.jpg,hoodie
21,21,https://store.musinsa.com/app/goods/1787100,제멋,[패키지] 로그 기모 후드 스웨트세트 YHHD2302+YHLP2336,"66,800","60,100",https://image.msscdn.net/images/goods_img/20210209/1787100/1787100_1_500.jpg,hoodie
22,22,https://store.musinsa.com/app/goods/2108136,예일,EMBROIDERY HANDSOME DAN HOODIE BLACK,"79,000","47,400",https://image.msscdn.net/images/goods_img/20210903/2108136/2108136_3_500.jpg,hoodie
23,23,https://store.musinsa.com/app/goods/2043036,코드그라피,[SET] 헤비웨이트 CGP 아치 로고 트레이닝 셋업_멜란지그레이,"97,900","69,900",https://image.msscdn.net/images/goods_img/20210728/2043036/2043036_3_500.jpg,hoodie
24,24,https://store.musinsa.com/app/goods/1571479,리,빅 트위치 루즈핏 후디 블랙,"79,000","55,300",https://image.msscdn.net/images/goods_img/20200831/1571479/1571479_6_500.jpg,hoodie
