,index,url,brand,name,price,discount_price,thumbnail,color,category
900,0,https://store.musinsa.com/app/goods/876556,디더블유에스 컴퍼니,LHERITAGE 롱 슬리브 (차콜),"38,000","19,800",https://image.msscdn.net/images/goods_img/20181010/876556/876556_1_500.jpg,3,longsleeve
901,1,https://store.musinsa.com/app/goods/1145010,무신사 스탠다드,베이식 긴팔 티셔츠 [멜란지 그레이],"13,900",,https://image.msscdn.net/images/goods_img/20190905/1145010/1145010_3_500.jpg,3,longsleeve
902,2,https://store.musinsa.com/app/goods/1144471,무신사 스탠다드,크루 넥 긴팔 티셔츠 [멜란지 그레이],"14,900","8,890",https://image.msscdn.net/images/goods_img/20190905/1144471/1144471_3_500.jpg,3,longsleeve
903,3,https://store.musinsa.com/app/goods/2307530,다운블로우,FW 남자 골프웨어 배색 반집업티셔츠,"79,800",,https://image.msscdn.net/images/goods_img/20220114/2307530/2307530_2_500.jpg,3,longsleeve
904,4,https://store.musinsa.com/app/goods/2302186,다운블로우,남자 골프웨어 배색 반집업티셔츠,"79,800",,https://image.msscdn.net/images/goods_img/20220112/2302186/2302186_2_500.jpg,3,longsleeve
905,5,https://store.musinsa.com/app/goods/2302852,에잇세컨즈,라이트 그레이 베이직 코튼 스웨트 셔츠_릴랙스핏 (422141LY12),"29,900",,https://image.msscdn.net/images/goods_img/20220112/2302852/2302852_1_500.jpg,3,longsleeve
906,6,https://store.musinsa.com/app/goods/1173551,제로,Oversize Water Washed L/S T-Shirts [Charcoal],"32,000",,https://image.msscdn.net/images/goods_img/20191001/1173551/1173551_1_500.jpg,3,longsleeve
907,7,https://store.musinsa.com/app/goods/2301027,다이나핏,MODE (모드) 긴팔티_Grey,"69,000",,https://image.msscdn.net/images/goods_img/20220111/2301027/2301027_1_500.jpg,3,longsleeve
908,8,https://store.musinsa.com/app/goods/961845,드로우핏,하이 벤트 레이어드 티셔츠 [D.GREY],"39,000","29,250",https://image.msscdn.net/images/goods_img/20190222/961845/961845_6_500.jpg,3,longsleeve
909,9,https://store.musinsa.com/app/goods/2292847,세인트제임스,Guildo U Elbow Patch (035) ASJU2212644-035,"128,000",,https://image.msscdn.net/images/goods_img/20220105/2292847/2292847_1_500.jpg,3,longsleeve
