,index,url,brand,name,price,discount_price,thumbnail,category
0,0,https://store.musinsa.com/app/goods/1382658,무신사 스탠다드,레이어드 크루 넥 반팔 티셔츠_긴 기장 [화이트],"13,900","12,490",https://image.msscdn.net/images/goods_img/20200402/1382658/1382658_5_500.jpg,shortsleeve
1,1,https://store.musinsa.com/app/goods/996177,무신사 스탠다드,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],"11,900",,https://image.msscdn.net/images/goods_img/20190327/996177/996177_3_500.jpg,shortsleeve
2,2,https://store.musinsa.com/app/goods/1815503,지오다노,021541 레이어드 반팔 티셔츠(2pck),"19,800","19,000",https://image.msscdn.net/images/goods_img/20210225/1815503/1815503_3_500.jpg,shortsleeve
3,3,https://store.musinsa.com/app/goods/996178,무신사 스탠다드,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],"11,900",,https://image.msscdn.net/images/goods_img/20190327/996178/996178_3_500.jpg,shortsleeve
4,4,https://store.musinsa.com/app/goods/996497,무신사 스탠다드,베이식 크루 넥 반팔 티셔츠 [화이트],"10,900",,https://image.msscdn.net/images/goods_img/20190327/996497/996497_4_500.jpg,shortsleeve
5,5,https://store.musinsa.com/app/goods/324416,어커버,[세트상품] 더블 코튼 롱 티셔츠,"60,000","19,800",https://image.msscdn.net/images/goods_img/20160322/324416/324416_1_500.jpg,shortsleeve
6,6,https://store.musinsa.com/app/goods/1685307,마인드브릿지,[정해인 착용] 고밀도순면기본반팔티셔츠_3팩 MATS0101,"19,900",,https://image.msscdn.net/images/goods_img/20201110/1685307/1685307_2_500.jpg,shortsleeve
7,7,https://store.musinsa.com/app/goods/1648564,지오다노,020940 레이어드 반팔 티,"12,800","12,000",https://image.msscdn.net/images/goods_img/20201014/1648564/1648564_2_500.jpg,shortsleeve
8,8,https://store.musinsa.com/app/goods/1807072,브렌슨,[패키지] Short_sleeve 레이어드 트임 반팔티,"43,800","23,900",https://image.msscdn.net/images/goods_img/20210222/1807072/1807072_2_500.jpg,shortsleeve
9,9,https://store.musinsa.com/app/goods/1420730,그루브라임,[패키지] NYC LOCATION T-SHIRT (16 Colors) [LRPMCTA401M],"58,000","35,000",https://image.msscdn.net/images/goods_img/20200424/1420730/1420730_1_500.jpg,shortsleeve
10,10,https://store.musinsa.com/app/goods/1886950,예일,EMBROIDERY HANDSOME DAN TEE WHITE,"39,000","19,500",https://image.msscdn.net/images/goods_img/20210407/1886950/1886950_1_500.jpg,shortsleeve
11,11,https://store.musinsa.com/app/goods/1848166,커버낫,쿨 코튼 2-PACK 티셔츠,"43,000","34,400",https://image.msscdn.net/images/goods_img/20210316/1848166/1848166_4_500.jpg,shortsleeve
12,12,https://store.musinsa.com/app/goods/1417691,무신사 스탠다드,우먼즈 베이식 크루 넥 반팔 티셔츠 [화이트],"12,900",,https://image.msscdn.net/images/goods_img/20200423/1417691/1417691_2_500.jpg,shortsleeve
13,13,https://store.musinsa.com/app/goods/903340,리,빅 트위치 로고 티셔츠 화이트,"35,000","24,500",https://image.msscdn.net/images/goods_img/20181112/903340/903340_7_500.jpg,shortsleeve
14,14,https://store.musinsa.com/app/goods/996498,무신사 스탠다드,베이식 크루 넥 반팔 티셔츠 [블랙],"10,900",,https://image.msscdn.net/images/goods_img/20190327/996498/996498_3_500.jpg,shortsleeve
15,15,https://store.musinsa.com/app/goods/1319379,아디다스,아디컬러 프리미엄 티셔츠 - 블랙 / FM9921,"49,000","24,900",https://image.msscdn.net/images/goods_img/20200224/1319379/1319379_5_500.jpg,shortsleeve
16,16,https://store.musinsa.com/app/goods/364484,트리플에이,(2PACK) 1301 무지 반팔티 블랙&amp;화이트,"30,000","14,900",https://image.msscdn.net/images/goods_img/20160603/364484/364484_4_500.jpg,shortsleeve
17,17,https://store.musinsa.com/app/goods/1807073,브렌슨,Short_sleeve 레이어드 트임 반팔티,"25,800","13,900",https://image.msscdn.net/images/goods_img/20210222/1807073/1807073_2_500.jpg,shortsleeve
18,18,https://store.musinsa.com/app/goods/2186292,프린트스타,[2PACK] 베이식 무지 레이어드 반팔 티셔츠,"20,000","14,900",https://image.msscdn.net/images/goods_img/20211019/2186292/2186292_1_500.jpg,shortsleeve
19,19,https://store.musinsa.com/app/goods/538899,커버낫,아치 로고 티셔츠 화이트,"39,000","27,300",https://image.msscdn.net/images/goods_img/20170414/538899/538899_8_500.jpg,shortsleeve
20,20,https://store.musinsa.com/app/goods/499561,챔피온,(2PACK) T425 무지 반팔티 (11 color),"50,000","17,900",https://image.msscdn.net/images/goods_img/20170315/499561/499561_9_500.jpg,shortsleeve
21,21,https://store.musinsa.com/app/goods/1375522,엘무드,YOUNG 프리미엄 실켓 티셔츠,"42,000","25,200",https://image.msscdn.net/images/goods_img/20200331/1375522/1375522_2_500.png,shortsleeve
22,22,https://store.musinsa.com/app/goods/1005683,마크 곤잘레스,사인로고 반팔 티셔츠 블랙,"35,000","21,000",https://image.msscdn.net/images/goods_img/20190404/1005683/1005683_5_500.jpg,shortsleeve
23,23,https://store.musinsa.com/app/goods/746280,커버낫,어센틱 로고 티셔츠 화이트,"39,000","27,300",https://image.msscdn.net/images/goods_img/20180330/746280/746280_5_500.jpg,shortsleeve
24,24,https://store.musinsa.com/app/goods/1005680,마크 곤잘레스,사인로고 반팔 티셔츠 화이트,"35,000","21,000",https://image.msscdn.net/images/goods_img/20190404/1005680/1005680_5_500.jpg,shortsleeve
25,25,https://store.musinsa.com/app/goods/1867185,마크 곤잘레스,썸머 엔젤 반팔 티셔츠 화이트,"39,000","19,500",https://image.msscdn.net/images/goods_img/20210329/1867185/1867185_3_500.jpg,shortsleeve
26,26,https://store.musinsa.com/app/goods/1801721,트리플에이,(3PACK) 1301 무지 반팔티 블랙&amp;화이트,"33,000","21,900",https://image.msscdn.net/images/goods_img/20210218/1801721/1801721_1_500.jpg,shortsleeve
