,index,url,brand,name,price,discount_price,thumbnail,category
0,0,https://store.musinsa.com/app/goods/1382694,무신사 스탠다드,레이어드 슬리브리스 탑_긴 기장 [화이트],"11,900",,https://image.msscdn.net/images/goods_img/20200402/1382694/1382694_5_500.jpg,sleeveless
1,1,https://store.musinsa.com/app/goods/552760,제멋,[패키지] 레이어드 롱나시 패키지(HJST2072),"27,800","22,900",https://image.msscdn.net/images/goods_img/20170510/552760/552760_1_500.jpg,sleeveless
2,2,https://store.musinsa.com/app/goods/1402327,브렌슨,[패키지] 레이어드 롱 슬리브리스,"39,800","18,900",https://image.msscdn.net/images/goods_img/20200413/1402327/1402327_2_500.jpg,sleeveless
3,3,https://store.musinsa.com/app/goods/348148,드로우핏,쿨메쉬 레이어드 슬리브리스 [OFFWHITE],"29,000","26,100",https://image.msscdn.net/images/goods_img/20160504/348148/348148_4_500.jpg,sleeveless
4,4,https://store.musinsa.com/app/goods/1466673,게인스보로,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 15COLOR,"50,000","28,900",https://image.msscdn.net/images/goods_img/20200528/1466673/1466673_9_500.jpg,sleeveless
5,5,https://store.musinsa.com/app/goods/722150,커스텀어클락,레이어드 슬리브리스 티 화이트,"25,000","14,900",https://image.msscdn.net/images/goods_img/20180222/722150/722150_3_500.jpg,sleeveless
6,6,https://store.musinsa.com/app/goods/1382693,무신사 스탠다드,레이어드 슬리브리스 탑_긴 기장 [블랙],"11,900",,https://image.msscdn.net/images/goods_img/20200402/1382693/1382693_5_500.jpg,sleeveless
7,7,https://store.musinsa.com/app/goods/2122563,무신사 스탠다드,레이어드 슬리브리스 탑_긴 기장 2팩,"21,800",,https://image.msscdn.net/images/goods_img/20210910/2122563/2122563_1_500.jpg,sleeveless
8,8,https://store.musinsa.com/app/goods/1917704,어커버,[세트상품] 스퀘어 넥 롱 슬리브리스 3color,"30,000","17,800",https://image.msscdn.net/images/goods_img/20210423/1917704/1917704_1_500.jpg,sleeveless
9,9,https://store.musinsa.com/app/goods/1402332,브렌슨,레이어드 사이드 트임 롱 슬리브리스 (화이트),"23,800","10,900",https://image.msscdn.net/images/goods_img/20200413/1402332/1402332_1_500.jpg,sleeveless
10,10,https://store.musinsa.com/app/goods/780466,게인스보로,[UNISEX] 메쉬쿨론 서프 슬리브리스 블랙,"35,000","24,500",https://image.msscdn.net/images/goods_img/20180514/780466/780466_6_500.jpg,sleeveless
11,11,https://store.musinsa.com/app/goods/2270717,탑텐,여성) 코튼 캐미솔 (3PACK)_MSC5TL2001,"15,900",,https://image.msscdn.net/images/goods_img/20211216/2270717/2270717_2_500.jpg,sleeveless
12,12,https://store.musinsa.com/app/goods/780467,게인스보로,[UNISEX] 메쉬쿨론 서프 슬리브리스 오프화이트,"35,000","24,500",https://image.msscdn.net/images/goods_img/20180514/780467/780467_6_500.jpg,sleeveless
13,13,https://store.musinsa.com/app/goods/1972003,무신사 스탠다드,레이어드 슬리브리스 탑_긴 기장 [크림],"11,900",,https://image.msscdn.net/images/goods_img/20210527/1972003/1972003_2_500.jpg,sleeveless
14,14,https://store.musinsa.com/app/goods/1402328,브렌슨,레이어드 롱 슬리브리스 (화이트),"23,800","10,900",https://image.msscdn.net/images/goods_img/20200413/1402328/1402328_1_500.jpg,sleeveless
15,15,https://store.musinsa.com/app/goods/2266904,지알엑스,여성 베이직 리커버리 폴로 슬리브 GNAS3101W,"198,000",,https://image.msscdn.net/images/goods_img/20211213/2266904/2266904_2_500.jpg,sleeveless
16,16,https://store.musinsa.com/app/goods/1387450,아디다스,쉐도우 탱크 - 블랙 / FU6005,"39,000","11,900",https://image.msscdn.net/images/goods_img/20200406/1387450/1387450_6_500.jpg,sleeveless
17,17,https://store.musinsa.com/app/goods/348145,드로우핏,쿨메쉬 레이어드 슬리브리스 [BLACK],"29,000","26,100",https://image.msscdn.net/images/goods_img/20160504/348145/348145_4_500.jpg,sleeveless
18,18,https://store.musinsa.com/app/goods/2279667,데블프럼어스,Cotton Jersey Tank 3 - Tan,"42,900",,https://image.msscdn.net/images/goods_img/20211222/2279667/2279667_1_500.jpg,sleeveless
19,19,https://store.musinsa.com/app/goods/2279654,데블프럼어스,Cotton Jersey Tank 3 - Salute,"42,900",,https://image.msscdn.net/images/goods_img/20211222/2279654/2279654_1_500.jpg,sleeveless
20,20,https://store.musinsa.com/app/goods/2279705,코유,플리츠 롱 슬리브리스 블랙,"71,000","49,700",https://image.msscdn.net/images/goods_img/20211222/2279705/2279705_1_500.jpg,sleeveless
21,21,https://store.musinsa.com/app/goods/2279214,제이청,Yuni Sheer Sleeveless Top_Black,"79,000",,https://image.msscdn.net/images/goods_img/20211222/2279214/2279214_1_500.jpg,sleeveless
22,22,https://store.musinsa.com/app/goods/2279222,제이청,Yuni Sheer Sleeveless Top_Mint,"79,000",,https://image.msscdn.net/images/goods_img/20211222/2279222/2279222_1_500.jpg,sleeveless
23,23,https://store.musinsa.com/app/goods/2279238,제이청,Yuni Sheer Sleeveless Top_Cream Pink,"79,000",,https://image.msscdn.net/images/goods_img/20211222/2279238/2279238_1_500.jpg,sleeveless
24,24,https://store.musinsa.com/app/goods/2280970,로나제인,Storm Oversized Muscle Tank [122106],"118,000",,https://image.msscdn.net/images/goods_img/20211223/2280970/2280970_1_500.jpg,sleeveless
25,25,https://store.musinsa.com/app/goods/471807,길단,2700 USA핏 슬리브리스 민소매 티셔츠,"8,000","7,900",https://image.msscdn.net/images/goods_img/20170113/471807/471807_3_500.jpg,sleeveless
26,26,https://store.musinsa.com/app/goods/2280975,로나제인,Push On Cropped Tank [122107],"109,000",,https://image.msscdn.net/images/goods_img/20211223/2280975/2280975_1_500.jpg,sleeveless
27,27,https://store.musinsa.com/app/goods/1425395,모더먼트,[UNISEX] 레이어드 오버핏 슬리브리스 나시 (화이트),"27,000","19,500",https://image.msscdn.net/images/goods_img/20200428/1425395/1425395_2_500.jpg,sleeveless
28,28,https://store.musinsa.com/app/goods/2280853,로나제인,EASY BREEZY ACTIVE TANK [062131],"94,400",,https://image.msscdn.net/images/goods_img/20211223/2280853/2280853_1_500.jpg,sleeveless
29,29,https://store.musinsa.com/app/goods/209989,드리프트아웃,[세트 상품] SLEEVELESS BOX TEE,"29,900","24,900",https://image.msscdn.net/images/goods_img/20150604/209989/209989_2_500.jpg,sleeveless
30,30,https://store.musinsa.com/app/goods/1852718,피아네르,[2장 세트] 레이어드 트임 나시 (2color),"73,800","19,900",https://image.msscdn.net/images/goods_img/20210318/1852718/1852718_1_500.jpg,sleeveless
31,31,https://store.musinsa.com/app/goods/1327521,어텐션로우,베타 네오민트 라벨 롱 슬리브리스 (5COLOR),"28,000","23,800",https://image.msscdn.net/images/goods_img/20200228/1327521/1327521_2_500.jpg,sleeveless
32,32,https://store.musinsa.com/app/goods/2272553,헤더먼트,홀터넥 슬리브리스 (블랙),"38,000",,https://image.msscdn.net/images/goods_img/20211217/2272553/2272553_1_500.jpg,sleeveless
33,33,https://store.musinsa.com/app/goods/2272554,헤더먼트,홀터넥 슬리브리스 (화이트),"38,000",,https://image.msscdn.net/images/goods_img/20211217/2272554/2272554_1_500.jpg,sleeveless
34,34,https://store.musinsa.com/app/goods/2270805,타미진스,슈퍼 크롭 뱃지 립 캐미 탑 (T32C0KTO13TWT7ACE),"78,000",,https://image.msscdn.net/images/goods_img/20211216/2270805/2270805_1_500.jpg,sleeveless
35,35,https://store.musinsa.com/app/goods/1895334,에이치덱스,어센틱 메인로고 머슬핏 민소매 5 color,"72,500","31,600",https://image.msscdn.net/images/goods_img/20210413/1895334/1895334_2_500.jpg,sleeveless
36,36,https://store.musinsa.com/app/goods/1972001,무신사 스탠다드,레이어드 슬리브리스 탑_긴 기장 [다크 그레이],"11,900",,https://image.msscdn.net/images/goods_img/20210527/1972001/1972001_2_500.jpg,sleeveless
37,37,https://store.musinsa.com/app/goods/2263587,제이린드버그,[Women] 레야 슬리브리스 골프 탑,"172,000",,https://image.msscdn.net/images/goods_img/20211209/2263587/2263587_1_500.jpg,sleeveless
38,38,https://store.musinsa.com/app/goods/2027736,닉앤니콜,스퀘어 넥 니트 슬리브리스_아이보리,"39,000","19,500",https://image.msscdn.net/images/goods_img/20210713/2027736/2027736_1_500.jpg,sleeveless
39,39,https://store.musinsa.com/app/goods/1382695,무신사 스탠다드,레이어드 슬리브리스 탑_긴 기장 [미디엄 그레이],"11,900",,https://image.msscdn.net/images/goods_img/20200402/1382695/1382695_5_500.jpg,sleeveless
40,40,https://store.musinsa.com/app/goods/2263776,제이린드버그,[Women] 헤일리 메쉬 베스트,"252,000",,https://image.msscdn.net/images/goods_img/20211209/2263776/2263776_1_500.jpg,sleeveless
41,41,https://store.musinsa.com/app/goods/1412388,엘무드,에센셜 수피마 슬리브리스 블랙,"38,000","30,400",https://image.msscdn.net/images/goods_img/20200421/1412388/1412388_3_500.jpg,sleeveless
42,42,https://store.musinsa.com/app/goods/1386128,아차,메쉬 레이어드 슬리브리스 _ 화이트,"29,000","23,200",https://image.msscdn.net/images/goods_img/20200405/1386128/1386128_1_500.jpg,sleeveless
43,43,https://store.musinsa.com/app/goods/1917577,어커버,[세트상품] 스퀘어 넥 숏 슬리브리스 3color,"30,000","17,800",https://image.msscdn.net/images/goods_img/20210423/1917577/1917577_1_500.jpg,sleeveless
