,index,url,brand,name,price,discount_price,thumbnail,color,category
3928,0,https://store.musinsa.com/app/goods/1557508,이벳필드,베츠 어센틱 맨투맨 그레이,"59,000","47,200",https://image.msscdn.net/images/goods_img/20200820/1557508/1557508_3_500.jpg,3,sweat
3929,1,https://store.musinsa.com/app/goods/2188843,브렌슨,[기모] 오버핏 트레이닝 셋업,"69,900","49,900",https://image.msscdn.net/images/goods_img/20211020/2188843/2188843_1_500.jpg,3,sweat
3930,2,https://store.musinsa.com/app/goods/947068,무신사 스탠다드,스웨트 셔츠 [멜란지 그레이],"20,900","17,690",https://image.msscdn.net/images/goods_img/20190201/947068/947068_3_500.jpg,3,sweat
3931,3,https://store.musinsa.com/app/goods/1628383,예일,2 TONE ARCH CREWNECK GRAY,"69,000","48,300",https://image.msscdn.net/images/goods_img/20200928/1628383/1628383_3_500.jpg,3,sweat
3932,4,https://store.musinsa.com/app/goods/1718760,더블유브이프로젝트,[세트] 프레니 세트 4종(맨투맨MJMT7407 + 팬츠CJLP7442),"67,800","59,800",https://image.msscdn.net/images/goods_img/20201210/1718760/1718760_1_500.jpg,3,sweat
3933,5,https://store.musinsa.com/app/goods/1742346,마크 곤잘레스,엔젤 와펜 맨투맨 그레이,"59,000","41,300",https://image.msscdn.net/images/goods_img/20210111/1742346/1742346_2_500.jpg,3,sweat
3934,6,https://store.musinsa.com/app/goods/1163604,나이키,클럽 맨투맨 그레이,"89,000","63,100",https://image.msscdn.net/images/goods_img/20190923/1163604/1163604_2_500.jpg,3,sweat
3935,7,https://store.musinsa.com/app/goods/643173,어텐션로우,로코 피그먼트 리버시블 헤비 맨투맨 (다크그레이),"88,000","52,800",https://image.msscdn.net/images/goods_img/20170926/643173/643173_4_500.jpg,3,sweat
3936,8,https://store.musinsa.com/app/goods/1563624,커버낫,C 로고 맨투맨 그레이,"59,000",,https://image.msscdn.net/images/goods_img/20200826/1563624/1563624_4_500.jpg,3,sweat
3937,9,https://store.musinsa.com/app/goods/2134123,디스이즈네버댓,T-Logo Crewneck Heather Grey,"72,000","64,800",https://image.msscdn.net/images/goods_img/20210915/2134123/2134123_1_500.jpg,3,sweat
3938,10,https://store.musinsa.com/app/goods/1126435,트래블,캠프 바시티 피그먼트 스웨트셔츠 블랙 차콜,"56,000","45,900",https://image.msscdn.net/images/goods_img/20190823/1126435/1126435_1_500.jpg,3,sweat
3939,11,https://store.musinsa.com/app/goods/1549285,마르디 메크르디,SWEATSHIRT FLOWERMARDI_GREY GREEN,"75,000",,https://image.msscdn.net/images/goods_img/20200814/1549285/1549285_1_500.jpg,3,sweat
