,index,url,brand,name,price,discount_price,thumbnail,color,category
5728,0,https://store.musinsa.com/app/goods/1599217,테이크이지,램스울 크루넥 오버니트(연차콜),"54,000","37,800",https://image.msscdn.net/images/goods_img/20200912/1599217/1599217_1_500.jpg,3,sweater
5729,1,https://store.musinsa.com/app/goods/1723790,라퍼지스토어,울 오버 헨리넥 니트_Gray,"68,000","45,900",https://image.msscdn.net/images/goods_img/20201216/1723790/1723790_2_500.jpg,3,sweater
5730,2,https://store.musinsa.com/app/goods/1736057,테이크이지,램스울 크루넥 오버니트(헤더그레이),"54,000","37,800",https://image.msscdn.net/images/goods_img/20210105/1736057/1736057_3_500.jpg,3,sweater
5731,3,https://store.musinsa.com/app/goods/2226767,드로우핏,오버사이즈 집업 카라 터틀넥 니트 [M.GREY],"76,000","68,400",https://image.msscdn.net/images/goods_img/20211111/2226767/2226767_2_500.jpg,3,sweater
5732,4,https://store.musinsa.com/app/goods/1191494,테이크이지,램스울 크루넥 오버니트(그레이),"54,000","37,800",https://image.msscdn.net/images/goods_img/20191017/1191494/1191494_2_500.jpg,3,sweater
5733,5,https://store.musinsa.com/app/goods/1191426,테이크이지,램스울 크루넥 오버니트(차콜),"54,000","37,800",https://image.msscdn.net/images/goods_img/20191017/1191426/1191426_2_500.jpg,3,sweater
5734,6,https://store.musinsa.com/app/goods/1139096,엘무드,화란 세미오버 니트 미드 그레이,"79,900","63,900",https://image.msscdn.net/images/goods_img/20190902/1139096/1139096_4_500.jpg,3,sweater
5735,7,https://store.musinsa.com/app/goods/1657113,코케트 스튜디오,[레서팬다] 실루엣 로고 니트 스웨트셔츠 차콜 [오버핏] 21VER.,"59,000","41,300",https://image.msscdn.net/images/goods_img/20201020/1657113/1657113_1_500.jpg,3,sweater
5736,8,https://store.musinsa.com/app/goods/1293408,굿라이프웍스,유니섹스 브이넥 니트 베스트 그레이,"49,000","43,600",https://image.msscdn.net/images/goods_img/20200206/1293408/1293408_11_500.jpg,3,sweater
5737,9,https://store.musinsa.com/app/goods/1275844,엘무드,화란 세미오버 니트 오션차콜,"79,900","63,900",https://image.msscdn.net/images/goods_img/20200120/1275844/1275844_4_500.jpg,3,sweater
5738,10,https://store.musinsa.com/app/goods/2108816,예일,JACQUARD HANDSOME DAN KNIT GRAY,"79,000","47,400",https://image.msscdn.net/images/goods_img/20210903/2108816/2108816_3_500.jpg,3,sweater
5739,11,https://store.musinsa.com/app/goods/2113681,토마스모어,sw1403 램스울 라운드 니트-화이트그레이,"53,500",,https://image.msscdn.net/images/goods_img/20210907/2113681/2113681_1_500.jpg,3,sweater
5740,12,https://store.musinsa.com/app/goods/948658,커스텀어클락,소프트 코튼 크루넥 니트 그레이,"45,000","37,000",https://image.msscdn.net/images/goods_img/20190207/948658/948658_7_500.jpg,3,sweater
5741,13,https://store.musinsa.com/app/goods/1681349,폴루션,RAGLAN HALF ZIP-UP KNIT SWEATER (C192MK001_IV),"49,800","29,900",https://image.msscdn.net/images/goods_img/20201106/1681349/1681349_2_500.jpg,3,sweater
5742,14,https://store.musinsa.com/app/goods/2166781,토피,울 브이넥 니트 (GREY),"59,000","49,000",https://image.msscdn.net/images/goods_img/20211007/2166781/2166781_1_500.jpg,3,sweater
5743,15,https://store.musinsa.com/app/goods/2084131,어널러코드,반집업나그랑니트 (그레이),"109,000","87,200",https://image.msscdn.net/images/goods_img/20210824/2084131/2084131_1_500.jpg,3,sweater
5744,16,https://store.musinsa.com/app/goods/2313893,라퍼지 포 우먼,[Woman]오버핏 후드 코튼 니트_Gray,"74,000","59,000",https://image.msscdn.net/images/goods_img/20220118/2313893/2313893_2_500.jpg,3,sweater
5745,17,https://store.musinsa.com/app/goods/2314441,에잇세컨즈,애쉬 멀티 스트라이프 라운드넥 니트_릴랙스핏 (212151AY34),"49,900",,https://image.msscdn.net/images/goods_img/20220119/2314441/2314441_1_500.jpg,3,sweater
5746,18,https://store.musinsa.com/app/goods/2311842,그레이스유,Rothy Half Turtle-neck Knit Top (Grey),"38,000",,https://image.msscdn.net/images/goods_img/20220118/2311842/2311842_1_500.jpg,3,sweater
5747,19,https://store.musinsa.com/app/goods/2309989,에콘,리본 디테일 골지 니트 터틀넥 그레이,"135,000",,https://image.msscdn.net/images/goods_img/20220117/2309989/2309989_1_500.jpg,3,sweater
5748,20,https://store.musinsa.com/app/goods/2184478,굿라이프웍스,클래식 카라 헨리넥  스웨터 니트 그레이,"69,000","48,300",https://image.msscdn.net/images/goods_img/20211018/2184478/2184478_1_500.jpg,3,sweater
5749,21,https://store.musinsa.com/app/goods/655888,커스텀어클락,소프트 베이직 터틀넥 니트 그레이,"39,000","35,100",https://image.msscdn.net/images/goods_img/20171019/655888/655888_4_500.jpg,3,sweater
5750,22,https://store.musinsa.com/app/goods/1635705,어반드레스,플랙스 골지 오버핏 라운드 니트 그레이,"35,000","24,500",https://image.msscdn.net/images/goods_img/20201006/1635705/1635705_9_500.jpg,3,sweater
5751,23,https://store.musinsa.com/app/goods/2309597,키르시,미들 체리 브이넥 니트 스웻셔츠 [멜란지 그레이],"69,000","62,100",https://image.msscdn.net/images/goods_img/20220116/2309597/2309597_1_500.jpg,3,sweater
5752,24,https://store.musinsa.com/app/goods/2085419,리,트위치로고 풀오버 니트 그레이,"79,000","63,200",https://image.msscdn.net/images/goods_img/20210825/2085419/2085419_4_500.jpg,3,sweater
5753,25,https://store.musinsa.com/app/goods/2305707,가니송,코튼 캔디 울 니트 베스트_그레이,"138,000",,https://image.msscdn.net/images/goods_img/20220113/2305707/2305707_1_500.jpg,3,sweater
5754,26,https://store.musinsa.com/app/goods/2304295,밈더워드로브,멀티 컬러 메리노울 오버사이즈 니트(3col),"149,000","134,100",https://image.msscdn.net/images/goods_img/20220112/2304295/2304295_1_500.jpg,3,sweater
5755,27,https://store.musinsa.com/app/goods/1769149,엘무드,휘황 세미오버 니트 멀티 블루 그레이,"128,000","102,400",https://image.msscdn.net/images/goods_img/20210129/1769149/1769149_3_500.jpg,3,sweater
5756,28,https://store.musinsa.com/app/goods/2301958,카미노 스트릿,21 FW 풀오버 니트 (그레이),"94,000","75,200",https://image.msscdn.net/images/goods_img/20220111/2301958/2301958_1_500.jpg,3,sweater
5757,29,https://store.musinsa.com/app/goods/2054505,키르시,스몰 체리 라운드 니트 KA [멜란지 그레이],"49,000","39,200",https://image.msscdn.net/images/goods_img/20210809/2054505/2054505_2_500.jpg,3,sweater
5758,30,https://store.musinsa.com/app/goods/2313575,노아브,울 부클 크루넥 니트 탑/그레이,"49,000","46,550",https://image.msscdn.net/images/goods_img/20220118/2313575/2313575_1_500.jpg,3,sweater
5759,31,https://store.musinsa.com/app/goods/1634651,어피스오브케이크,HTT Knit_Grey,"79,000","63,200",https://image.msscdn.net/images/goods_img/20201006/1634651/1634651_3_500.jpg,3,sweater
