,index,url,brand,name,price,discount_price,thumbnail,category
0,0,https://store.musinsa.com/app/goods/1208839,그루브라임,[오늘만이가격] [패키지] (기모) NYC LOCATION SWEATSHIRT [LRPWCTM304M],"118,000","42,000",https://image.msscdn.net/images/goods_img/20191031/1208839/1208839_2_500.jpg,sweatshirt
1,1,https://store.musinsa.com/app/goods/1557509,이벳필드,베츠 어센틱 맨투맨 블랙,"59,000","47,200",https://image.msscdn.net/images/goods_img/20200820/1557509/1557509_3_500.jpg,sweatshirt
2,2,https://store.musinsa.com/app/goods/1595528,예일,(BY P.E.DEPT) UNIVERSITY HANDSOME DAN CREWNECK NAVY,"72,000","43,200",https://image.msscdn.net/images/goods_img/20200910/1595528/1595528_3_500.jpg,sweatshirt
3,3,https://store.musinsa.com/app/goods/2038497,라퍼지스토어,[기모ver.] 헤비 기모 오버 럭비 맨투맨 _Midnight Blue,"45,000","39,000",https://image.msscdn.net/images/goods_img/20210722/2038497/2038497_2_500.jpg,sweatshirt
4,4,https://store.musinsa.com/app/goods/1557508,이벳필드,베츠 어센틱 맨투맨 그레이,"59,000","47,200",https://image.msscdn.net/images/goods_img/20200820/1557508/1557508_3_500.jpg,sweatshirt
5,5,https://store.musinsa.com/app/goods/947067,무신사 스탠다드,스웨트 셔츠 [블랙],"20,900",,https://image.msscdn.net/images/goods_img/20190201/947067/947067_3_500.jpg,sweatshirt
6,6,https://store.musinsa.com/app/goods/1742347,마크 곤잘레스,엔젤 와펜 맨투맨 블랙,"59,000","41,300",https://image.msscdn.net/images/goods_img/20210111/1742347/1742347_2_500.jpg,sweatshirt
7,7,https://store.musinsa.com/app/goods/1759350,에프씨엠엠,[SET] 베이직 라인 셋업,"74,000","59,000",https://image.msscdn.net/images/goods_img/20210122/1759350/1759350_2_500.jpg,sweatshirt
8,8,https://store.musinsa.com/app/goods/1679943,비바스튜디오,RETRIEVER CREWNECK KA [NAVY],"69,000","44,850",https://image.msscdn.net/images/goods_img/20201105/1679943/1679943_3_500.jpg,sweatshirt
9,9,https://store.musinsa.com/app/goods/1563621,커버낫,C 로고 맨투맨 블랙,"59,000","47,200",https://image.msscdn.net/images/goods_img/20200826/1563621/1563621_2_500.jpg,sweatshirt
10,10,https://store.musinsa.com/app/goods/1582356,소버먼트,980g pigment mtm-charcoal-,"74,000","46,400",https://image.msscdn.net/images/goods_img/20200903/1582356/1582356_1_500.jpg,sweatshirt
11,11,https://store.musinsa.com/app/goods/2085371,제멋,[패키지] 헤이즈 오버핏 스웨트셔츠 [쭈리/기모] 2PACK KJMT2369 / KJMT2400,"57,800","47,900",https://image.msscdn.net/images/goods_img/20210825/2085371/2085371_1_500.jpg,sweatshirt
12,12,https://store.musinsa.com/app/goods/897632,[패밀리세일],캠프 바시티 피그먼트 스웨트셔츠 블루 섀도우,"56,000","39,900",https://image.msscdn.net/images/goods_img/20181104/897632/897632_1_500.jpg,sweatshirt
13,13,https://store.musinsa.com/app/goods/2188843,브렌슨,[기모] 오버핏 트레이닝 셋업,"69,900","49,900",https://image.msscdn.net/images/goods_img/20211020/2188843/2188843_1_500.jpg,sweatshirt
14,14,https://store.musinsa.com/app/goods/1742346,마크 곤잘레스,엔젤 와펜 맨투맨 그레이,"59,000","41,300",https://image.msscdn.net/images/goods_img/20210111/1742346/1742346_2_500.jpg,sweatshirt
15,15,https://store.musinsa.com/app/goods/1595532,예일,(BY P.E.DEPT) UNIVERSITY HANDSOME DAN CREWNECK BLACK,"72,000","43,200",https://image.msscdn.net/images/goods_img/20200910/1595532/1595532_3_500.jpg,sweatshirt
16,16,https://store.musinsa.com/app/goods/1817394,[패밀리세일],[3-PACK]베이직 트래블러 피그먼트 스웨트셔츠,"150,000","57,900",https://image.msscdn.net/images/goods_img/20210226/1817394/1817394_1_500.jpg,sweatshirt
17,17,https://store.musinsa.com/app/goods/1549281,마르디 메크르디,SWEATSHIRT FLOWERMARDI_OATMEAL BLACK,"75,000",,https://image.msscdn.net/images/goods_img/20200814/1549281/1549281_1_500.jpg,sweatshirt
18,18,https://store.musinsa.com/app/goods/1642887,무신사 스탠다드,헤비웨이트 오버사이즈 스웨트셔츠 [블랙],"28,900",,https://image.msscdn.net/images/goods_img/20201012/1642887/1642887_1_500.jpg,sweatshirt
19,19,https://store.musinsa.com/app/goods/2064581,마르디 메크르디,SWEATSHIRT UNIV_NAVY IVORY,"75,000",,https://image.msscdn.net/images/goods_img/20210813/2064581/2064581_1_500.jpg,sweatshirt
20,20,https://store.musinsa.com/app/goods/1776447,예일,EMBROIDERY HANDSOME DAN CREWNECK NAVY,"69,000","41,400",https://image.msscdn.net/images/goods_img/20210203/1776447/1776447_2_500.jpg,sweatshirt
21,21,https://store.musinsa.com/app/goods/1563623,커버낫,C 로고 맨투맨 네이비,"59,000","47,200",https://image.msscdn.net/images/goods_img/20200826/1563623/1563623_4_500.jpg,sweatshirt
22,22,https://store.musinsa.com/app/goods/957878,아디다스,릴랙스 오버사이즈 크루넥 - 블랙 / CM1407,"89,000","29,900",https://image.msscdn.net/images/goods_img/20190219/957878/957878_8_500.jpg,sweatshirt
23,23,https://store.musinsa.com/app/goods/1163605,나이키,클럽 맨투맨 블랙,"89,000","59,000",https://image.msscdn.net/images/goods_img/20190923/1163605/1163605_2_500.jpg,sweatshirt
24,24,https://store.musinsa.com/app/goods/956939,유니폼브릿지,1960 sweatshirts navy,"59,000","47,000",https://image.msscdn.net/images/goods_img/20190218/956939/956939_3_500.jpg,sweatshirt
25,25,https://store.musinsa.com/app/goods/2120260,이벳필드,베츠 어센틱 맨투맨 오트밀,"59,000","47,200",https://image.msscdn.net/images/goods_img/20210909/2120260/2120260_2_500.jpg,sweatshirt
26,26,https://store.musinsa.com/app/goods/1743494,에이징씨씨씨,드롭숄더 배드베어 맨투맨 네이비,"59,000","38,350",https://image.msscdn.net/images/goods_img/20210111/1743494/1743494_5_500.jpg,sweatshirt
27,27,https://store.musinsa.com/app/goods/644037,마크 곤잘레스,스몰 사인 로고 맨투맨 블랙,"59,000","41,300",https://image.msscdn.net/images/goods_img/20170926/644037/644037_2_500.jpg,sweatshirt
28,28,https://store.musinsa.com/app/goods/2134123,디스이즈네버댓,T-Logo Crewneck Heather Grey,"72,000","50,400",https://image.msscdn.net/images/goods_img/20210915/2134123/2134123_1_500.jpg,sweatshirt
29,29,https://store.musinsa.com/app/goods/836498,비바스튜디오,LOCATION CREWNECK [PASTEL BLUE],"58,000","34,800",https://image.msscdn.net/images/goods_img/20180823/836498/836498_2_500.jpg,sweatshirt
30,30,https://store.musinsa.com/app/goods/1595530,예일,(BY P.E.DEPT) UNIVERSITY HANDSOME DAN CREWNECK GRAY,"72,000","36,000",https://image.msscdn.net/images/goods_img/20200910/1595530/1595530_3_500.jpg,sweatshirt
